review,sentiment
ngon lắm,positive
ngon_ăn sạch không còn gì haha,positive
mua về cho chị dâu yêu_dấu,positive
cơm rất ngon nha cảm_ơn chủ quán vì bữa cơm tình_thương_mến_thương này fan trung_thành của quán sẽ mãi ủng_hộ quán nè,positive
ngon lắm mọi người,positive
mắm hôm_nay quá loãng dặn không bỏ ram vẫn bỏ rất nhiều không hài_lòng,negative
shop thêm ít đường nữa là chuẩn hà_nội hơi nhiều sấu nên hơi chua numberv chút nói_chung là ổn,positive
ngon lắm,positive
ngon cá như vậy quá được rồi chứ còn đòi gì nữa thím,positive
bánh_tráng ngon khỏi bàn,positive
quán ơi trứng nướng phô_mai mà em chả thấy phô_mai đâu luôn ấy rồi còn đã note không xúc_xích vẫn xuất_hiện mấy cục bé tí rồi món này nghĩ sao mà bỏ hành sống vậy trời mùi hăng hết cả hộp luôn ấy,negative
bánh_canh đặt biệt gì mà lèo_tèo thấy bắt chán toàn bánh không thấy toping lần trước đặt thì ăn cũng được vì freship nên mới mua không có lần sau đặt lại thất_vọng,negative
cho đũa mà cho numberv cái bẻ đôi hả đặt quẩy cho quá nhiều chưa hỏi khách đã bỏ vào ăn không hết,negative
ngày nào cũng uống,positive
ăn khô heo uống sting thì đúng ngon luôn khô heo cháy tỏi vị thơm_nức mũi ăn dai dai ngon ngon ghiền lắm lần sau mua tiếp,positive
quá tệ đặt gà kho giao gà chiên mắm ăn rau xong ăn gà thì nghe mùi thiu,negative
bánh_canh ngon,positive
ngon lắm,positive
thạch nha đam trong trà sữa răng lại chua rứa,negative
đóng_gói không cẩn_thận bị đổ ra ngoài mong quán rút kinh_nghiệm hơn nhé,negative
vị ngon thích nhất ớt tương quán,positive
ngon lắm khẩu_phần_nhiều món nào cũng ngon cả hihi,positive
dễ_tính nhưng thật_sự dở quá toàn là gan với huyết và dồi huyết không biết huyết gì mà bỏ vào miệng nó tự tan chưa kịp nhai luôn,negative
cơm không đáng với giá pricev,negative
sườn bữa_nay nướng không thấm như mọi hôm lạc lẽo quá chất_lượng càng ngày_càng tệ,negative
siêu ngon bé nhà tui mê như điếu đổ luôn lần sau sẽ thử những món khác,positive
thập_cẩm đặt biệt mà sao không thấy có rêu chả cá không thôi mà tô pricev thì chưa ok lắm,negative
quá ít luôn toàn xoài không thấy chân gà đâu luôn,negative
tưởng đâu là bánh tiêu ai_ngờ là cái bánh dẹp hối_hận khi đặt mua đồ ăn như vậy_mà cũng đem lên loship không đáng tiền,negative
đặt phần thêm có rầu riêng nhưng khi nhận thì không có sầu_riêng,negative
đặt bún riêu cua ship bún_chả cá làm_ăn chi hay rứa ủa alo,negative
qủang cáo không đúng bán chất_lượng món ăn quá kém mua bún_bò mà về thành bún_chả cây,negative
lâu rồi mới ăn lại thời_buổi gì cũng tăng_giá mà pricev được tô bún to cành thế này quá là hợp_lí no tới chiều,positive
ngon bữa sau sẽ ủng_hộ,positive
đặt đâu cũng thấy milano là được nhất hợp_ý mình giá_cả phải_chăng đúng vị cà_phê nhẹ mình là đứa dễ say cafe mà lần nào đặt milano cũng không bị say sẽ ủng_hộ dài_dài,positive
quên bỏ mắm_nêm vào phần ăn mong lần sau quán chú_ý hơn_nữa,negative
bỏ ly bé tý nhiều đường kem hơi cứng,negative
thất_vọng pricev cho chè thái và chè dừa cả ship về giá_cả so với chất_lượng chè mình đánh_giá không cao còn ship rõ_ràng có mã giảm percentv lúc đặt đơn cũng thấy giảm percentv nhưng đơn đặt xong không giảm đúng percentv như đã thấy trước đó,negative
tui mua ly chè thập_cẩm hiện_đại nè giá_cả so với chất_lượng rất ok ủng_hộ dài_dài,positive
hài_lòng ngon,positive
đùi gà nhỏ so với giá tiền cơm ngon canh bình_thường nói_chung không ổn,negative
đặt cơm quán nhiều lần rồi nhưng nay khá thất_vọng vì đặt cơm gà trứng trộn hết pricev do nay không được fre ship nhưng giao cơm không có trứng thịt gà mặn rau lang quá mặn,negative
nhiều toping nhưng nước_mắm hơi mặn numberv chút không sao vẫn ngon và mình sẽ đặt tiếp nhé,positive
dở_ẹc còn có con ruồi nửa chứ chán làm_ăn mất ngon chủ quán nên xem_xét khâu vệ_sinh,negative
thanh_toán bằng zalo nên có ưu_đãi tốt thức uống ngon sẽ đặt lại,positive
mùi_vị khác xa ngày_xưa nhiều lắm numberv năm trước ăn ngon hơn hắn giờ quá xuống_cấp quá,negative
hơi ngọt giảm đường lại là ngon hơn,negative
cơm hôm_nay toàn cát mọi hôm thì thấy ok mong quán cẩn_thận hơn,negative
hehe tiệm đã thấy lời phàn_nàn của em và đã sửa lại tiệm ăn thật là dễ_thương quá đồ ăn nhiều ngon lắm,positive
giao nhanh ok,positive
bánh mỳ bơ tỏi không ngon lắm,negative
đặt đồ ăn hết món đó nhưng quán vẫn giao đầy_đủ đồ ăn khác cũng ngon cho mình ăn tim,positive
bánh dở_tệ bánh thì cứng không_thể nào ăn nổi phô_mai tươi không ngon,negative
ngon lắm nha,positive
trà chanh ngon nhân_viên đẹp tuyệt_vời,positive
để mô_tả thì siêu đặc_biệt bột lọc kèm có chả nhận thì không có chả bột lọc được numberv numberv miếng,negative
tuyệt_vời,positive
bún thịt thì ngon nhưng mà nó nguội quá hết hứng ăn luôn,negative
sầu quá đi thôi aish chết_tiệt đổ hết ra túi rồi,positive
xin cơm thêm thì không cho xin cơm thêm thì không cho xin cơm thêm thì không cho nước_mắm thì cho có numberv bịch thảm vkl,negative
